input_element,input_weakness,option_1,option_2,option_3,option_4,option_5,ideal_choice
Water,Lightning,Fighting,Darkness,Fire,Colorless,Psychic,Lightning
Water,Metal,Metal,Water,Fire,Darkness,Psychic,Metal
Lightning,Fighting,Metal,Fighting,Fire,Darkness,Darkness,Fighting
Lightning,Lightning,Colorless,Colorless,Fighting,Fighting,Fighting,Lightning
Colorless,Fighting,Lightning,Fighting,Psychic,Fighting,Fighting,Fighting
Water,Lightning,Water,Fighting,Psychic,Fighting,Fighting,Lightning
Grass,Fire,Darkness,Metal,Grass,Fire,Fighting,Fire
Metal,Fire,Psychic,Grass,Water,Colorless,Metal,Fire
Fire,Water,Lightning,Fighting,Darkness,Metal,Water,Water
Fire,Lightning,Darkness,Darkness,Metal,Darkness,Water,Lightning
Lightning,Fighting,Darkness,Fighting,Metal,Grass,Metal,Fighting
Fighting,Grass,Water,Psychic,Grass,Metal,Colorless,Grass
Colorless,Fighting,Lightning,Grass,Colorless,Fighting,Lightning,Fighting
Water,Lightning,Fighting,Psychic,Fire,Psychic,Grass,Lightning
Grass,Fire,Fire,Metal,Colorless,Lightning,Fire,Fire
Grass,Fire,Psychic,Psychic,Fire,Fire,Water,Fire
Fighting,Psychic,Water,Water,Grass,Fire,Water,Psychic
Fighting,Grass,Colorless,Metal,Fighting,Lightning,Colorless,Grass
Water,Lightning,Fighting,Grass,Grass,Grass,Fighting,Lightning
Grass,Fire,Metal,Psychic,Lightning,Metal,Grass,Fire
Water,Lightning,Fire,Fire,Fighting,Fighting,Darkness,Lightning
Water,Lightning,Fire,Grass,Darkness,Grass,Metal,Lightning
Water,Lightning,Colorless,Fighting,Water,Metal,Fighting,Lightning
Psychic,Darkness,Darkness,Fire,Fighting,Fighting,Fire,Darkness
Lightning,Fighting,Colorless,Fire,Colorless,Lightning,Fire,Fighting
Lightning,Lightning,Colorless,Psychic,Metal,Fighting,Psychic,Lightning
Water,Lightning,Water,Lightning,Grass,Fighting,Metal,Lightning
Darkness,Fighting,Colorless,Water,Water,Darkness,Lightning,Fighting
Colorless,Fighting,Grass,Grass,Colorless,Fighting,Grass,Fighting
Grass,Fire,Fighting,Colorless,Colorless,Colorless,Fire,Fire
Metal,Fire,Colorless,Psychic,Colorless,Fighting,Fire,Fire
Water,Lightning,Fire,Metal,Psychic,Water,Metal,Lightning
Fighting,Grass,Metal,Lightning,Fire,Colorless,Fire,Grass
Psychic,Darkness,Grass,Water,Darkness,Fighting,Metal,Darkness
Fire,Water,Fighting,Grass,Colorless,Fire,Colorless,Water
Water,Lightning,Psychic,Fighting,Psychic,Lightning,Colorless,Lightning
